customer_name,customer_contact_name,customer_country,employee_name,employee_title,shipper_name,ship_name,order_date,delivery_date,freight_value,order_value,billable_value
Customer AHPOP,"Welcker, Brian",United Kingdom,"Cameron, Maria",Sales Representative,Shipper GVSUA,Ship to 72-A,2022-03-12,2022-04-09,4.2,1036.8,1041
Customer AHPOP,"Welcker, Brian",United Kingdom,"Davis, Sara",CEO,Shipper ZHISN,Ship to 72-C,2021-12-09,2022-01-06,22.21,863.6,885.81
Customer AHPOP,"Welcker, Brian",United Kingdom,"Davis, Sara",CEO,Shipper ZHISN,Ship to 72-C,2022-12-26,2023-01-23,137.44,1468.935,1606.375
Customer AHPOP,"Welcker, Brian",United Kingdom,"Funk, Don","Vice President, Sales",Shipper GVSUA,Ship to 72-C,2021-12-19,2022-01-16,34.86,1228.8,1263.66
Customer AHPOP,"Welcker, Brian",United Kingdom,"King, Russell",Sales Representative,Shipper ETYNR,Ship to 72-C,2022-05-01,2022-05-29,77.63,2444.31,2521.94
Customer AHPOP,"Welcker, Brian",United Kingdom,"Lew, Judy",Sales Manager,Shipper ETYNR,Ship to 72-C,2022-05-23,2022-06-20,178.43,1792.8,1971.23
Customer AHPOP,"Welcker, Brian",United Kingdom,"Mortensen, Sven",Sales Manager,Shipper GVSUA,Ship to 72-A,2023-02-04,2023-03-04,143.28,1630,1773.28
Customer AHPOP,"Welcker, Brian",United Kingdom,"Mortensen, Sven",Sales Manager,Shipper ZHISN,Ship to 72-C,2021-11-21,2021-12-19,288.43,3471.68,3760.11
Customer AHPOP,"Welcker, Brian",United Kingdom,"Suurs, Paul",Sales Representative,Shipper ETYNR,Ship to 72-C,2022-12-30,2023-01-27,27.33,2278.4,2305.73
Customer AHXHT,"Frank, Jill",Mexico,"Cameron, Maria",Sales Representative,Shipper ZHISN,Ship to 58-C,2021-11-14,2021-12-12,53.8,568.8,622.6
Customer AHXHT,"Frank, Jill",Mexico,"Davis, Sara",CEO,Shipper ZHISN,Ship to 58-B,2023-04-02,2023-04-30,46,1196,1242
